,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
147,Long Beach St.,70.6,15.5,18.5,103.7,102.2,70.6,103.7,49.2,18.2,27.4,37.0,102.2,51.6,20.0,27.0,27.9,35.7,47.2,72.3,7.2,8.5,9.6,49.0,31.4,21.4,51.7,26.9,16.7,49.7,33.5
148,Longwood,66.0,17.7,18.3,106.2,103.5,66.0,106.2,51.5,18.6,34.1,35.7,103.5,50.6,20.2,24.5,26.8,38.6,47.8,72.6,11.9,8.3,10.2,54.5,37.1,20.1,46.6,33.3,16.4,50.1,33.5
149,Louisiana,69.5,17.2,17.0,101.8,102.7,69.5,101.8,48.7,21.9,33.6,35.6,102.7,46.9,18.3,27.6,35.5,34.3,47.0,71.1,8.8,11.8,10.1,50.4,36.8,20.6,48.5,30.9,22.1,50.9,27.0
150,Louisiana Monroe,67.6,17.4,17.2,101.3,109.4,67.6,101.3,50.2,18.9,24.7,26.0,109.4,52.9,19.4,33.4,34.7,33.2,50.5,71.7,10.7,11.1,7.9,56.1,35.4,15.7,54.8,29.6,18.5,48.6,32.8
151,Louisiana Tech,68.4,17.1,17.4,105.9,98.5,68.4,105.9,51.9,16.9,26.0,31.2,98.5,48.2,19.3,28.2,28.1,34.0,52.5,72.8,9.2,9.2,7.6,49.9,41.1,18.0,48.9,33.1,17.5,49.9,32.6
152,Louisville,66.9,16.8,18.6,102.6,100.0,66.9,102.6,48.8,18.0,27.3,25.1,100.0,50.4,16.3,24.8,30.0,30.9,50.5,67.4,9.3,9.4,8.5,48.1,42.2,14.8,51.0,34.3,17.3,49.9,32.8
153,Loyola Chicago,64.6,17.7,18.6,110.8,93.2,64.6,110.8,56.3,18.3,25.1,31.9,93.2,47.0,19.9,23.9,28.4,38.0,55.8,71.8,11.2,8.7,9.7,56.8,43.1,16.9,46.8,36.3,18.1,50.6,31.3
154,Loyola MD,64.4,18.7,17.5,96.5,105.2,64.4,96.5,50.4,18.2,25.2,25.0,105.2,51.4,20.8,26.1,30.7,32.1,51.7,69.1,8.2,9.7,8.5,58.9,38.2,14.6,54.2,31.2,17.7,51.0,31.3
155,Loyola Marymount,65.8,18.5,17.0,106.1,108.5,65.8,106.1,51.9,19.2,24.4,31.1,108.5,54.7,18.1,27.3,31.9,34.2,52.3,72.1,10.4,9.6,9.6,44.7,38.1,17.8,51.2,31.0,18.4,52.2,29.4
156,Maine,66.1,18.0,18.0,92.3,114.5,66.1,92.3,46.9,19.4,24.0,20.4,114.5,54.9,18.3,30.5,32.8,31.0,47.0,70.5,7.7,9.9,9.5,55.6,38.6,13.3,53.5,33.2,17.8,51.7,30.5
157,Manhattan,68.5,17.3,17.3,100.2,108.8,68.5,100.2,48.3,20.5,30.0,41.4,108.8,52.2,19.9,30.9,34.7,29.9,50.0,73.6,7.0,10.9,9.6,46.4,32.9,24.0,52.8,23.2,19.1,54.7,26.3
158,Marist,66.1,17.6,18.2,100.7,104.3,66.1,100.7,50.4,18.2,26.5,25.0,104.3,48.3,16.8,27.3,28.5,34.4,49.7,71.9,8.9,8.8,9.4,35.3,37.7,15.1,52.2,32.7,17.7,47.4,34.9
159,Marquette,70.6,15.2,18.3,109.8,95.8,70.6,109.8,52.6,17.3,22.4,26.8,95.8,46.7,19.1,31.4,29.7,34.7,52.9,74.7,9.1,9.9,7.4,59.4,41.7,16.0,49.3,34.7,18.2,52.2,29.6
160,Marshall,72.2,15.4,17.5,101.4,107.1,72.2,101.4,49.4,18.1,27.3,24.3,107.1,52.0,17.8,28.1,28.3,30.1,52.1,70.9,6.7,10.5,7.6,50.4,39.1,14.9,54.6,30.5,17.5,53.8,28.7
161,Maryland,66.5,18.1,17.5,109.6,99.4,66.5,109.6,49.4,16.9,27.3,33.9,99.4,50.2,16.0,27.6,24.6,32.6,49.7,75.9,9.2,8.3,8.6,47.1,37.2,20.7,50.1,29.2,15.3,49.7,35.0
162,Maryland Eastern Shore,67.5,17.5,16.8,91.0,103.6,67.5,91.0,46.0,21.9,27.7,31.8,103.6,51.0,23.8,30.4,36.4,31.9,44.6,64.7,10.1,9.8,12.1,53.7,42.4,18.3,45.6,36.1,19.7,49.8,30.5
163,Massachusetts,68.9,17.0,17.7,112.0,113.3,68.9,112.0,51.3,16.6,29.3,32.8,113.3,55.2,18.0,29.7,29.3,37.1,48.0,75.8,7.9,8.5,8.1,53.1,43.1,19.5,42.9,37.7,16.2,53.3,30.5
164,McNeese St.,69.5,16.5,16.6,97.8,110.8,69.5,97.8,48.6,22.0,33.3,37.5,110.8,52.0,17.8,28.9,40.2,30.6,49.9,65.4,7.9,11.3,10.8,42.3,33.4,20.1,54.6,25.2,22.0,51.4,26.6
165,Memphis,70.3,16.5,17.1,110.4,94.1,70.3,110.4,52.6,22.9,37.5,38.4,94.1,46.5,20.9,31.0,32.9,35.9,52.0,69.2,9.2,13.2,9.7,59.6,30.8,20.2,54.7,25.1,19.9,44.6,35.5
166,Mercer,64.6,18.9,17.5,105.8,107.5,64.6,105.8,53.0,18.3,24.7,29.4,107.5,53.0,15.9,27.0,28.6,35.3,53.1,77.5,8.7,10.3,8.0,56.1,42.4,17.7,47.4,34.9,16.4,48.6,35.0
167,Merrimack,62.1,18.5,19.0,94.4,105.9,62.1,94.4,48.6,18.5,22.5,26.0,105.9,49.1,22.6,36.2,33.9,33.3,47.8,67.9,9.2,9.3,9.2,50.5,40.5,15.3,49.5,35.2,19.8,52.4,27.9
168,Miami FL,67.3,17.4,18.0,114.7,102.1,67.3,114.7,54.2,14.2,23.4,28.8,102.1,53.5,20.4,30.3,24.6,35.3,54.8,74.3,8.8,7.9,6.3,50.9,35.9,16.5,54.2,29.3,13.7,52.7,33.5
169,Miami OH,67.6,17.6,17.1,103.8,111.7,67.6,103.8,50.3,15.0,26.0,23.7,111.7,53.5,18.0,30.2,30.4,34.3,49.5,80.0,8.9,8.8,6.2,49.2,42.4,15.8,47.7,36.5,17.1,48.5,34.5
170,Michigan,66.3,17.7,17.8,114.2,98.5,66.3,114.2,52.3,17.1,31.2,28.9,98.5,50.3,15.0,23.8,26.6,34.0,53.0,74.6,8.4,7.8,9.3,52.4,32.3,17.1,56.8,26.1,16.2,55.9,28.0
171,Michigan St.,67.5,16.9,18.2,111.3,96.3,67.5,111.3,52.0,19.2,30.7,30.4,96.3,47.5,15.3,27.0,28.3,37.8,49.7,74.7,8.7,9.5,9.7,60.7,33.4,17.9,52.2,29.9,17.4,51.7,30.8
172,Middle Tennessee,67.4,17.6,17.3,105.5,98.4,67.4,105.5,50.9,19.4,30.3,32.6,98.4,47.7,20.8,29.3,35.9,32.9,52.1,76.0,11.0,9.6,9.7,48.7,43.1,19.6,46.9,33.6,21.8,50.2,28.0
173,Milwaukee,66.8,17.3,18.1,92.0,108.9,66.8,92.0,47.7,19.6,25.9,28.0,108.9,47.5,14.9,30.1,29.1,31.9,47.5,71.5,8.5,9.8,9.8,48.1,34.7,17.4,53.8,28.8,19.1,45.1,35.8
174,Minnesota,65.0,18.6,17.8,107.2,101.9,65.0,107.2,50.7,14.0,17.7,23.6,101.9,51.2,15.8,27.6,23.3,36.8,48.0,71.8,10.4,7.3,6.6,50.9,37.4,14.3,50.7,34.9,13.8,56.7,29.5
175,Mississippi,65.1,17.9,17.6,105.9,99.8,65.1,105.9,49.6,18.0,26.7,28.7,99.8,51.4,19.4,26.6,28.0,32.6,49.9,71.1,9.2,10.1,7.9,53.2,37.3,17.1,52.4,30.6,16.2,55.3,28.5
176,Mississippi St.,65.4,18.1,17.6,110.0,96.0,65.4,110.0,49.5,19.5,34.4,38.4,96.0,49.6,19.5,26.0,28.1,29.5,51.6,72.2,8.2,10.6,8.9,52.9,28.1,21.9,58.5,19.6,17.1,49.0,33.9
177,Mississippi Valley St.,70.6,17.1,15.5,92.9,115.4,70.6,92.9,44.5,18.1,23.5,31.4,115.4,56.7,20.8,33.9,36.5,30.5,43.8,65.5,9.3,9.2,8.9,48.0,38.0,18.8,49.5,31.7,18.6,54.5,26.9
178,Missouri,65.5,17.9,17.6,104.1,101.0,65.5,104.1,47.1,21.6,31.4,29.9,101.0,50.8,17.9,29.6,35.6,28.1,49.4,74.1,9.8,10.9,10.7,50.4,32.6,19.0,57.3,23.6,19.7,50.2,30.1
179,Missouri St.,67.0,17.9,17.5,113.5,101.8,67.0,113.5,54.6,15.5,25.8,27.7,101.8,48.8,15.7,24.0,28.0,36.4,54.6,79.9,8.1,7.5,7.9,42.3,37.4,16.8,52.0,31.1,17.9,49.7,32.4
180,Monmouth,66.0,17.2,18.4,102.3,102.0,66.0,102.3,47.5,17.3,29.4,36.9,102.0,47.3,17.8,27.9,33.6,33.1,46.3,72.8,8.6,8.0,9.3,49.6,34.0,22.1,50.1,27.8,20.2,46.5,33.3
181,Montana,65.1,18.0,17.7,100.5,107.0,65.1,100.5,50.2,15.7,18.1,38.5,107.0,51.8,19.1,26.8,42.8,33.9,49.9,78.8,8.3,6.2,9.5,49.1,35.8,23.2,49.0,27.9,23.1,51.6,25.2
182,Montana St.,67.3,18.0,17.0,104.4,100.7,67.3,104.4,53.8,18.5,26.7,40.3,100.7,48.3,18.2,23.3,36.0,36.8,53.1,75.0,8.2,9.3,9.1,48.0,36.2,21.9,49.1,29.0,22.0,49.9,28.1
183,Morehead St.,64.6,18.3,17.9,103.8,99.2,64.6,103.8,52.4,20.4,30.7,29.0,99.2,46.5,17.3,29.5,23.7,35.8,51.6,67.5,9.9,11.4,9.0,61.7,40.2,15.7,49.6,34.7,14.7,55.5,29.8
184,Morgan St.,71.7,16.1,16.2,95.2,106.0,71.7,95.2,46.4,21.4,31.5,31.1,106.0,51.6,23.3,29.9,43.7,30.7,46.5,66.7,10.3,10.6,10.8,52.9,31.9,18.3,55.9,25.8,22.9,47.0,30.0
